weight,height,waist_circumference,chest_circumference,thigh_circumference,biceps_circumference,gender,age,ethnicity,component
61.59286530171681,155.04201275148668,77.3259441671563,93.4969252213592,56.37584843592014,27.529130603131904,Female,58,Other,Regular Army
66.5473376577508,154.60044956233807,88.55406818691446,91.72242867213538,59.55079232067085,35.63796733084536,Female,47,Asian,Regular Army
93.38062471223685,164.82019759423338,76.87616242567454,80.51834709816008,59.697029315313955,24.265252257078053,Male,18,Black,Regular Army
71.05762587136864,163.67824867143264,103.28841470564609,88.02715415448378,46.0108956440744,37.405092985430045,Male,32,Other,Regular Army
71.9393160274142,139.5065722524957,87.61203812659224,120.98490232129876,40.81723292047329,34.58095606229201,Female,52,Asian,Reserves
95.72597480324922,175.40573455719377,75.77097525855282,94.62584986365951,70.43728245059577,31.67565508552374,Male,42,Asian,Reserves
76.91374308983804,167.49725735985191,57.89660553872008,104.13491890443319,56.61972950937817,32.87337664237215,Female,38,Other,National Guard
51.02408148090199,189.16207373148328,75.3447834115594,93.15473501735272,57.629495821293645,31.018098309433157,Male,49,White,Reserves
59.69720722159711,171.85198238051098,115.69028278199224,101.09824296161446,46.649220371913295,27.764794039892063,Male,59,White,Reserves
63.31507044850063,160.53040691038007,76.58856368303402,94.47273191012026,62.92784889267058,28.282370362222903,Female,37,Black,Reserves
88.36122696159192,192.97391146958097,72.46001041220713,108.63921955681457,67.87633756466154,26.98082101764595,Female,34,Asian,Regular Army
75.39720740586046,193.32226023915507,94.7942125416677,89.96366582865616,65.69509073183882,36.193362592361105,Female,19,White,Reserves
76.01157175891078,152.81288183709822,91.619396872644,77.909398313183,40.83461084069569,32.9974602665316,Male,43,White,Regular Army
71.6602407391768,169.69031955955424,96.27443584886913,103.98549683127699,47.71644400956695,29.45633121201867,Female,41,Asian,Regular Army
61.662382978688875,162.8875308136785,80.83037372266995,92.62265973505683,55.68454121253364,24.305715176235545,Male,57,White,Regular Army
96.80369705204618,166.87051146554012,101.83981324389508,109.63407580530253,59.87788559569985,31.599276692791765,Male,40,White,Regular Army
77.46775717343859,167.27542728568812,67.41086709702986,96.24378266479307,51.1927803837293,24.967259329854016,Female,24,Asian,Regular Army
40.500742650555424,152.38099537130947,84.26684848039511,109.53740843833106,48.99015488639184,25.741939785850114,Male,51,Other,Regular Army
80.52033852345528,167.8558958024256,74.43789494173065,98.50226959507424,56.6085015543509,40.193930223496935,Female,18,Asian,Regular Army
62.90812888408099,182.49247363141797,95.21137957025775,91.50974520340228,48.401497938747305,23.020088882078127,Male,31,Hispanic,Reserves
53.982644410197324,163.35909995865197,86.95010142103204,102.25598607819829,69.30453011473047,25.585025012987547,Male,41,Asian,Regular Army
