height,gender,age,ethnicity,component,weight,waist_circumference,chest_circumference,thigh_circumference,biceps_circumference
159.39524353447788,Female,28,Hispanic,Regular Army,73.15896731087179,64.32094523116885,97.40459081320367,59.13250086956369,23.597340991562966
162.6982251051672,Female,45,Hispanic,Reserves,48.0041474860471,72.73695111239338,97.70602599950794,38.277672320944575,30.493731639853618
180.58708314149123,Female,35,Black,National Guard,47.999862806293265,72.80283074068139,84.83358892175897,42.512334920759734,17.662541316113693
165.70508391424576,Male,19,Black,Reserves,83.66337652783884,90.96737191420779,111.89603633499925,71.52583368066193,28.761951288037935
166.29287735160946,Female,38,Hispanic,Regular Army,66.79028299970545,79.95430475237572,100.51208715190022,54.27746486116964,25.3972694155937
182.1506498688328,Male,54,Asian,National Guard,92.49984362708184,83.6309719527751,106.50074577619633,47.84829223183787,43.87888101563294
169.60916205989201,Female,54,Asian,Regular Army,81.33362846520889,94.42295997743122,98.60769164788937,55.84254887313057,35.601051774610504
152.34938765393466,Female,36,Black,Reserves,54.8959214821446,77.63153311681323,84.26618067307658,49.6527885753088,26.445018110233672
158.13147148106475,Female,32,Asian,Reserves,43.63296714227054,65.41385897987483,78.39455125365035,62.50493864084093,36.887250739885125
160.54338029900043,Female,45,Hispanic,Regular Army,96.34014461825319,88.37411457000529,98.06534706319181,60.44285607528618,24.945623741202223
177.24081797439462,Male,41,Asian,Reserves,87.32697414993146,104.88059369824181,84.05619696343686,71.77739601648346,32.000947700286865
168.59813827057363,Female,51,White,Regular Army,105.80215235693524,92.57851840837382,105.93842963723118,64.56466120717255,19.749980061276645
169.00771450594053,Male,59,White,Regular Army,84.05225769740034,116.73783675448288,116.35999211655923,49.836370796982465,28.652042119730307
166.1068271594512,Male,37,White,Regular Army,73.35636308897935,101.53349961601461,106.28690222305025,57.67156491561712,32.43964327429739
159.44158865245925,Male,55,White,Reserves,80.25100530854351,86.66203290793264,117.70707028983928,53.985404619697654,30.72465724238517
182.8691313680308,Female,22,Asian,Regular Army,76.72984500626947,73.95357107895138,94.90710843479513,61.62002282752383,30.04406966779981
169.9785047822924,Male,35,Other,Reserves,45.793464323778196,86.77604605096668,73.17010974370785,51.59350852450463,24.009084180139546
145.33382843370362,Female,44,Hispanic,Regular Army,79.75968241172927,85.88187778403288,90.8093116957651,54.77022799288385,32.14785401829689
172.01355901563684,Female,58,White,Regular Army,62.45608937931395,85.70659869253238,85.0411929889457,66.66291470216129,28.778885247887633
160.27208592272066,Female,48,Asian,Reserves,65.7510157041516,70.56590985671681,101.4423761400791,46.01855316445614,30.515239893257167
154.32176294013155,Male,28,Hispanic,Reserves,76.72859593790915,93.61907595279635,108.23573151101458,47.601195065050696,31.456490462789876
162.82025085341704,Female,46,White,Regular Army,70.09928819391365,81.39502502241328,109.8908392584712,49.81576711256839,32.78584631745507
154.7399555169276,Male,18,Hispanic,Reserves,79.0854591832113,103.424799143437,99.81005182867196,54.58233594721067,36.94492798346907
157.7110877070886,Female,24,White,Regular Army,63.810438901902025,82.04417160527967,99.38426726763855,45.5868864327094,32.244119149364174
158.74960732150743,Female,57,White,National Guard,38.863006360327574,66.10158485838471,80.24479671558014,53.9958990636703,25.032143431682606
148.13306689257587,Female,52,Hispanic,Regular Army,72.13629268670593,79.75368200137142,87.94622229559354,50.61661243070628,28.773926376695233
173.37787044494524,Male,30,White,Reserves,65.60243813625482,90.16041400803186,102.77769826227076,52.57991507341419,25.40929991499211
166.53373117836514,Male,33,Asian,Regular Army,82.497350880161,88.73989127592039,95.39133020084641,51.91825996856463,32.71254684551404
153.61863062988053,Female,45,White,Regular Army,63.59806338641097,81.77995442788988,101.78455335715867,58.29003938587266,34.72993971276895
177.53814921069926,Male,50,Hispanic,National Guard,74.98667100739122,78.00699235223993,105.05034023275105,63.04206416764444,33.39449364888978
